County or equivalent,State or equivalent,Population (2020 census),Area (mi^2),Core-based statistical area
Suwannee,Florida,"43,474",688,
Taylor,Florida,"21,796",1042,
Union,Florida,"16,147",240,
Volusia,Florida,"553,543",1106,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
Wakulla,Florida,"33,764",607,"Tallahassee, FL Metropolitan Statistical Area"
Walton,Florida,"75,305",1058,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
Washington,Florida,"25,318",580,
Appling,Georgia,"18,444",509,
Atkinson,Georgia,"8,286",338,"Douglas, GA Micropolitan Statistical Area"
Bacon,Georgia,"11,140",285,
Baker,Georgia,"2,876",343,
Baldwin,Georgia,"43,799",258,"Milledgeville, GA Micropolitan Statistical Area"
Banks,Georgia,"18,035",234,
Barrow,Georgia,"83,505",162,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Bartow,Georgia,"108,901",460,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Ben Hill,Georgia,"17,194",252,"Fitzgerald, GA Micropolitan Statistical Area"
Berrien,Georgia,"18,160",452,
Bibb,Georgia,"157,346",250,"Macon, GA Metropolitan Statistical Area"
Bleckley,Georgia,"12,583",217,
Brantley,Georgia,"18,021",444,"Brunswick, GA Metropolitan Statistical Area"
Brooks,Georgia,"16,301",494,"Valdosta, GA Metropolitan Statistical Area"
Bryan,Georgia,"44,738",442,"Savannah, GA Metropolitan Statistical Area"
Bulloch,Georgia,"81,099",683,"Statesboro, GA Micropolitan Statistical Area"
Burke,Georgia,"24,596",831,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Butts,Georgia,"25,434",187,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Calhoun,Georgia,"5,573",280,
Camden,Georgia,"54,768",630,"St. Marys, GA Micropolitan Statistical Area"
Candler,Georgia,"10,981",247,
Carroll,Georgia,"119,148",499,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Catoosa,Georgia,"67,872",162,"Chattanooga, TN-GA Metropolitan Statistical Area"
Charlton,Georgia,"12,518",781,
Chatham,Georgia,"295,291",440,"Savannah, GA Metropolitan Statistical Area"
Chattahoochee,Georgia,"9,565",249,"Columbus, GA-AL Metropolitan Statistical Area"
Chattooga,Georgia,"24,965",314,"Summerville, GA Micropolitan Statistical Area"
Cherokee,Georgia,"266,620",424,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Clarke,Georgia,"128,671",121,"Athens-Clarke County, GA Metropolitan Statistical Area"
Clay,Georgia,"2,848",195,
Clayton,Georgia,"297,595",195,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Clinch,Georgia,"6,749",809,
Cobb,Georgia,"766,149",340,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Coffee,Georgia,"43,092",599,"Douglas, GA Micropolitan Statistical Area"
Colquitt,Georgia,"45,898",552,"Moultrie, GA Micropolitan Statistical Area"
Columbia,Georgia,"156,010",290,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Cook,Georgia,"17,229",229,
Coweta,Georgia,"146,158",443,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Crawford,Georgia,"12,130",325,"Macon, GA Metropolitan Statistical Area"
Crisp,Georgia,"20,128",274,"Cordele, GA Micropolitan Statistical Area"
Dade,Georgia,"16,251",174,"Chattanooga, TN-GA Metropolitan Statistical Area"
Dawson,Georgia,"26,798",211,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Decatur,Georgia,"29,367",597,"Bainbridge, GA Micropolitan Statistical Area"
DeKalb,Georgia,"764,382",268,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Dodge,Georgia,"19,925",501,
Dooly,Georgia,"11,208",393,
Dougherty,Georgia,"85,790",330,"Albany, GA Metropolitan Statistical Area"
Douglas,Georgia,"144,237",199,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Early,Georgia,"10,854",511,
Echols,Georgia,"3,697",404,"Valdosta, GA Metropolitan Statistical Area"
Effingham,Georgia,"64,769",480,"Savannah, GA Metropolitan Statistical Area"
Elbert,Georgia,"19,637",369,
Emanuel,Georgia,"22,768",686,
Evans,Georgia,"10,774",185,
Fannin,Georgia,"25,319",386,
Fayette,Georgia,"119,194",197,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Floyd,Georgia,"98,584",513,"Rome, GA Metropolitan Statistical Area"
Forsyth,Georgia,"251,283",226,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Franklin,Georgia,"23,424",263,
Fulton,Georgia,"1,066,710",529,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Gilmer,Georgia,"31,353",427,
Glascock,Georgia,"2,884",144,
Glynn,Georgia,"84,499",422,"Brunswick, GA Metropolitan Statistical Area"
Gordon,Georgia,"57,544",355,"Calhoun, GA Micropolitan Statistical Area"
Grady,Georgia,"26,236",458,
Greene,Georgia,"18,915",388,
Gwinnett,Georgia,"957,062",433,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Habersham,Georgia,"46,031",278,"Cornelia, GA Micropolitan Statistical Area"
Hall,Georgia,"203,136",394,"Gainesville, GA Metropolitan Statistical Area"
Hancock,Georgia,"8,735",473,"Milledgeville, GA Micropolitan Statistical Area"
Haralson,Georgia,"29,919",282,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Harris,Georgia,"34,668",464,"Columbus, GA-AL Metropolitan Statistical Area"
Hart,Georgia,"25,828",232,
Heard,Georgia,"11,412",296,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Henry,Georgia,"240,712",323,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Houston,Georgia,"163,633",377,"Warner Robins, GA Metropolitan Statistical Area"
Irwin,Georgia,"9,666",357,
Jackson,Georgia,"75,907",342,"Jefferson, GA Micropolitan Statistical Area"
Jasper,Georgia,"14,588",370,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Jeff Davis,Georgia,"14,779",333,
Jefferson,Georgia,"15,709",528,
Jenkins,Georgia,"8,674",350,
Johnson,Georgia,"9,189",304,"Dublin, GA Micropolitan Statistical Area"
Jones,Georgia,"28,347",394,"Macon, GA Metropolitan Statistical Area"
Lamar,Georgia,"18,500",185,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Lanier,Georgia,"9,877",187,"Valdosta, GA Metropolitan Statistical Area"
Laurens,Georgia,"49,570",813,"Dublin, GA Micropolitan Statistical Area"
Lee,Georgia,"33,163",356,"Albany, GA Metropolitan Statistical Area"
Liberty,Georgia,"65,256",519,"Hinesville, GA Metropolitan Statistical Area"
Lincoln,Georgia,"7,690",211,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Long,Georgia,"16,168",401,"Hinesville, GA Metropolitan Statistical Area"
Lowndes,Georgia,"118,251",504,"Valdosta, GA Metropolitan Statistical Area"
Lumpkin,Georgia,"33,488",284,
Macon,Georgia,"12,082",367,
Madison,Georgia,"30,120",260,"Athens-Clarke County, GA Metropolitan Statistical Area"
Marion,Georgia,"7,498",434,"Columbus, GA-AL Metropolitan Statistical Area"
McDuffie,Georgia,"21,632",403,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
McIntosh,Georgia,"10,975",284,"Brunswick, GA Metropolitan Statistical Area"
Meriwether,Georgia,"20,613",503,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Miller,Georgia,"6,000",283,
Mitchell,Georgia,"21,755",512,
Monroe,Georgia,"27,957",396,"Macon, GA Metropolitan Statistical Area"
Montgomery,Georgia,"8,610",245,"Vidalia, GA Micropolitan Statistical Area"
Morgan,Georgia,"20,097",350,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Murray,Georgia,"39,973",344,"Dalton, GA Metropolitan Statistical Area"
Muscogee,Georgia,"206,922",216,"Columbus, GA-AL Metropolitan Statistical Area"
Newton,Georgia,"112,483",276,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Oconee,Georgia,"41,799",186,"Athens-Clarke County, GA Metropolitan Statistical Area"
Oglethorpe,Georgia,"14,825",441,"Athens-Clarke County, GA Metropolitan Statistical Area"
Paulding,Georgia,"168,661",314,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Peach,Georgia,"27,981",151,"Warner Robins, GA Metropolitan Statistical Area"
Pickens,Georgia,"33,216",232,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Pierce,Georgia,"19,716",343,"Waycross, GA Micropolitan Statistical Area"
Pike,Georgia,"18,889",218,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Polk,Georgia,"42,853",311,"Cedartown, GA Micropolitan Statistical Area"
Pulaski,Georgia,"9,855",247,
Putnam,Georgia,"22,047",344,
Quitman,Georgia,"2,235",152,"Eufaula, AL-GA Micropolitan Statistical Area"
Rabun,Georgia,"16,883",371,
Randolph,Georgia,"6,425",429,
Richmond,Georgia,"206,607",324,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Rockdale,Georgia,"93,570",131,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Schley,Georgia,"4,547",168,"Americus, GA Micropolitan Statistical Area"
Screven,Georgia,"14,067",648,
Seminole,Georgia,"9,147",238,
Spalding,Georgia,"67,306",198,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Stephens,Georgia,"26,784",179,"Toccoa, GA Micropolitan Statistical Area"
Stewart,Georgia,"5,314",459,"Columbus, GA-AL Metropolitan Statistical Area"
Sumter,Georgia,"29,616",485,"Americus, GA Micropolitan Statistical Area"
Talbot,Georgia,"5,733",393,"Columbus, GA-AL Metropolitan Statistical Area"
Taliaferro,Georgia,"1,559",195,
Tattnall,Georgia,"22,842",484,
Taylor,Georgia,"7,816",378,
Telfair,Georgia,"12,477",441,
Terrell,Georgia,"9,185",336,"Albany, GA Metropolitan Statistical Area"
Thomas,Georgia,"45,798",548,"Thomasville, GA Micropolitan Statistical Area"
Tift,Georgia,"41,344",265,"Tifton, GA Micropolitan Statistical Area"
Toombs,Georgia,"27,030",367,"Vidalia, GA Micropolitan Statistical Area"
Towns,Georgia,"12,493",166,
Treutlen,Georgia,"6,406",201,"Dublin, GA Micropolitan Statistical Area"
Troup,Georgia,"69,426",414,"LaGrange, GA Micropolitan Statistical Area"
Turner,Georgia,"9,006",286,
Twiggs,Georgia,"8,022",360,"Macon, GA Metropolitan Statistical Area"
Union,Georgia,"24,632",323,
Upson,Georgia,"27,700",326,"Thomaston, GA Micropolitan Statistical Area"
Walker,Georgia,"67,654",446,"Chattanooga, TN-GA Metropolitan Statistical Area"
Walton,Georgia,"96,673",329,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Ware,Georgia,"36,251",903,"Waycross, GA Micropolitan Statistical Area"
Warren,Georgia,"5,215",286,
Washington,Georgia,"19,988",680,
Wayne,Georgia,"30,144",645,"Jesup, GA Micropolitan Statistical Area"
Webster,Georgia,"2,348",210,
Wheeler,Georgia,"7,471",298,
White,Georgia,"28,003",242,
Whitfield,Georgia,"102,864",290,"Dalton, GA Metropolitan Statistical Area"
Wilcox,Georgia,"8,766",380,
Wilkes,Georgia,"9,565",471,
Wilkinson,Georgia,"8,877",447,
Worth,Georgia,"20,784",570,"Albany, GA Metropolitan Statistical Area"
Guam,Guam,"162,742",210,
Hawaii,Hawaiʻi,"200,629",4028,"Hilo, HI Micropolitan Statistical Area"
"Honolulu, City and County of",Hawaiʻi,"1,016,508",597,"Urban Honolulu, HI Metropolitan Statistical Area"
Kalawao,Hawaiʻi,82,5.2,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area"
Kauai,Hawaiʻi,"73,298",622,"Kapaa, HI Micropolitan Statistical Area"
Maui,Hawaiʻi,"164,754",1120,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area"
Ada,Idaho,"494,967",1055,"Boise City, ID Metropolitan Statistical Area"
Adams,Idaho,"4,379",1365,
Bannock,Idaho,"87,018",1113,"Pocatello, ID Metropolitan Statistical Area"
Bear Lake,Idaho,"6,372",971,
Benewah,Idaho,"9,530",776,
Bingham,Idaho,"47,992",2095,"Blackfoot, ID Micropolitan Statistical Area"
Blaine,Idaho,"24,272",2645,"Hailey, ID Micropolitan Statistical Area"
Boise,Idaho,"7,610",1902,"Boise City, ID Metropolitan Statistical Area"
Bonner,Idaho,"47,110",1738,"Sandpoint, ID Micropolitan Statistical Area"
Bonneville,Idaho,"123,964",1869,"Idaho Falls, ID Metropolitan Statistical Area"
Boundary,Idaho,"12,056",1269,
Butte,Idaho,"2,574",2233,"Idaho Falls, ID Metropolitan Statistical Area"
Camas,Idaho,"1,077",1077,"Hailey, ID Micropolitan Statistical Area"
Canyon,Idaho,"231,105",590,"Boise City, ID Metropolitan Statistical Area"
Caribou,Idaho,"7,027",1766,
Cassia,Idaho,"24,655",2567,"Burley, ID Micropolitan Statistical Area"
Clark,Idaho,790,1765,
Clearwater,Idaho,"8,734",2462,
Custer,Idaho,"4,275",4926,
Elmore,Idaho,"28,666",3078,"Mountain Home, ID Micropolitan Statistical Area"
Franklin,Idaho,"14,194",666,"Logan, UT-ID Metropolitan Statistical Area"
Fremont,Idaho,"13,388",1867,"Rexburg, ID Micropolitan Statistical Area"
Gem,Idaho,"19,123",563,"Boise City, ID Metropolitan Statistical Area"
Gooding,Idaho,"15,598",731,
Idaho,Idaho,"16,541",8485,
Jefferson,Idaho,"30,891",1095,"Idaho Falls, ID Metropolitan Statistical Area"
Jerome,Idaho,"24,237",600,"Twin Falls, ID Micropolitan Statistical Area"
Kootenai,Idaho,"171,362",1245,"Coeur d'Alene, ID Metropolitan Statistical Area"
Latah,Idaho,"39,517",1077,"Moscow, ID Micropolitan Statistical Area"
Lemhi,Idaho,"7,974",4564,
Lewis,Idaho,"3,533",479,
Lincoln,Idaho,"5,127",1206,
Madison,Idaho,"52,913",472,"Rexburg, ID Micropolitan Statistical Area"
Minidoka,Idaho,"21,613",760,"Burley, ID Micropolitan Statistical Area"
Nez Perce,Idaho,"42,090",849,"Lewiston, ID-WA Metropolitan Statistical Area"
Oneida,Idaho,"4,564",1200,
Owyhee,Idaho,"11,913",7678,"Boise City, ID Metropolitan Statistical Area"
Payette,Idaho,"25,386",408,"Ontario, OR-ID Micropolitan Statistical Area"
Power,Idaho,"7,878",1406,"Pocatello, ID Metropolitan Statistical Area"
Shoshone,Idaho,"13,169",2634,
Teton,Idaho,"11,630",450,"Jackson, WY-ID Micropolitan Statistical Area"
Twin Falls,Idaho,"90,046",1925,"Twin Falls, ID Micropolitan Statistical Area"
Valley,Idaho,"11,746",3733,
Washington,Idaho,"10,500",1456,
Adams,Illinois,"65,737",855,"Quincy, IL-MO Micropolitan Statistical Area"
Alexander,Illinois,"5,240",236,"Cape Girardeau, MO-IL Metropolitan Statistical Area"
Bond,Illinois,"16,725",380,"St. Louis, MO-IL Metropolitan Statistical Area"
Boone,Illinois,"53,448",280,"Rockford, IL Metropolitan Statistical Area"
Brown,Illinois,"6,244",305,
Bureau,Illinois,"33,244",869,"Ottawa, IL Micropolitan Statistical Area"
Calhoun,Illinois,"4,437",253,"St. Louis, MO-IL Metropolitan Statistical Area"
Carroll,Illinois,"15,702",445,
Cass,Illinois,"13,042",375,
Champaign,Illinois,"205,865",996,"Champaign-Urbana, IL Metropolitan Statistical Area"
Christian,Illinois,"34,032",709,"Taylorville, IL Micropolitan Statistical Area"
Clark,Illinois,"15,455",501,
Clay,Illinois,"13,288",468,
Clinton,Illinois,"36,899",474,"St. Louis, MO-IL Metropolitan Statistical Area"
Coles,Illinois,"46,863",508,"Charleston-Mattoon, IL Micropolitan Statistical Area"
Cook,Illinois,"5,275,541",944,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
Crawford,Illinois,"18,679",443,
Cumberland,Illinois,"10,450",345,"Charleston-Mattoon, IL Micropolitan Statistical Area"
DeKalb,Illinois,"100,420",631,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
DeWitt,Illinois,"15,516",397,
Douglas,Illinois,"19,740",416,
DuPage,Illinois,"932,877",327,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
Edgar,Illinois,"16,866",623,
Edwards,Illinois,"6,245",222,
Effingham,Illinois,"34,668",478,"Effingham, IL Micropolitan Statistical Area"
Fayette,Illinois,"21,488",716,
Ford,Illinois,"13,534",485,
Franklin,Illinois,"37,804",408,
Fulton,Illinois,"33,609",865,"Peoria, IL Metropolitan Statistical Area"
Gallatin,Illinois,"4,946",322,
Greene,Illinois,"11,985",543,
Grundy,Illinois,"52,533",418,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
Hamilton,Illinois,"7,993",434,
Hancock,Illinois,"17,620",793,"Fort Madison-Keokuk, IA-IL-MO Micropolitan Statistical Area"
Hardin,Illinois,"3,649",177,
Henderson,Illinois,"6,387",378,"Burlington, IA-IL Micropolitan Statistical Area"
Henry,Illinois,"49,284",822,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area"
Iroquois,Illinois,"27,077",1117,
Jackson,Illinois,"52,974",584,"Carbondale-Marion, IL Metropolitan Statistical Area"
Jasper,Illinois,"9,287",494,
Jefferson,Illinois,"37,113",571,"Mount Vernon, IL Micropolitan Statistical Area"
Jersey,Illinois,"21,512",369,"St. Louis, MO-IL Metropolitan Statistical Area"
Jo Daviess,Illinois,"22,035",600,
Johnson,Illinois,"13,308",343,"Carbondale-Marion, IL Metropolitan Statistical Area"
Kane,Illinois,"516,522",519,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
Kankakee,Illinois,"107,502",676,"Kankakee, IL Metropolitan Statistical Area"
Kendall,Illinois,"131,869",320,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
Knox,Illinois,"49,967",716,"Galesburg, IL Micropolitan Statistical Area"
Lake,Illinois,"714,342",443,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
LaSalle,Illinois,"109,658",1135,"Ottawa, IL Micropolitan Statistical Area"
Lawrence,Illinois,"15,280",372,
Lee,Illinois,"34,145",724,"Dixon, IL Micropolitan Statistical Area"
Livingston,Illinois,"35,815",1043,"Pontiac, IL Micropolitan Statistical Area"
Logan,Illinois,"27,987",618,"Lincoln, IL Micropolitan Statistical Area"
Macon,Illinois,"103,998",572,"Decatur, IL Metropolitan Statistical Area"
Macoupin,Illinois,"44,967",386,"St. Louis, MO-IL Metropolitan Statistical Area"
Madison,Illinois,"265,859",539,"St. Louis, MO-IL Metropolitan Statistical Area"
Marion,Illinois,"37,729",237,"Centralia, IL Micropolitan Statistical Area"
Marshall,Illinois,"11,742",589,"Peoria, IL Metropolitan Statistical Area"
Mason,Illinois,"13,086",603,
Massac,Illinois,"14,169",1183,"Paducah, KY-IL Micropolitan Statistical Area"
McDonough,Illinois,"27,238",580,"Macomb, IL Micropolitan Statistical Area"
McHenry,Illinois,"310,229",862,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
McLean,Illinois,"170,954",1186,"Bloomington, IL Metropolitan Statistical Area"
Menard,Illinois,"12,297",314,"Springfield, IL Metropolitan Statistical Area"
Mercer,Illinois,"15,699",561,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area"
Monroe,Illinois,"34,962",385,"St. Louis, MO-IL Metropolitan Statistical Area"
Montgomery,Illinois,"28,288",703,
Morgan,Illinois,"32,915",568,"Jacksonville, IL Micropolitan Statistical Area"
Moultrie,Illinois,"14,526",335,
Ogle,Illinois,"51,788",758,"Rochelle, IL Micropolitan Statistical Area"
Peoria,Illinois,"181,830",618,"Peoria, IL Metropolitan Statistical Area"
Perry,Illinois,"20,945",441,
Piatt,Illinois,"16,673",439,"Champaign-Urbana, IL Metropolitan Statistical Area"
Pike,Illinois,"14,739",831,
Pope,Illinois,"3,763",368,
Pulaski,Illinois,"5,193",199,
Putnam,Illinois,"5,637",160,"Ottawa, IL Micropolitan Statistical Area"
Randolph,Illinois,"30,163",575,
Richland,Illinois,"15,813",360,
Rock Island,Illinois,"144,672",427,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area"
St. Clair,Illinois,"257,400",379,"St. Louis, MO-IL Metropolitan Statistical Area"
Saline,Illinois,"23,768",868,
Sangamon,Illinois,"196,343",437,"Springfield, IL Metropolitan Statistical Area"
Schuyler,Illinois,"6,902",250,
Scott,Illinois,"4,949",758,"Jacksonville, IL Micropolitan Statistical Area"
Shelby,Illinois,"20,990",657,
Stark,Illinois,"5,400",288,"Peoria, IL Metropolitan Statistical Area"
